,name,iata_code,iso_country,latitude,longitude
6924,Ugashik Bay Airport,UGB,US,57.424052,-157.74479
6925,David the Builder Kutaisi International Airport,KUT,GE,42.176768,42.482393
6926,Batumi International Airport,BUS,GE,41.6102981567,41.5997009277
6927,Sukhumi Babushara /  Vladislav Ardzinba International Airport,SUI,GE,42.8582,41.128101
6928,Tbilisi International Airport,TBS,GE,41.6692008972,44.95470047
6929,Ignatyevo Airport,BQS,RU,50.42539978027344,127.41200256347656
6930,Magdagachi Airport,GDG,RU,53.472467,125.798094
6931,Tynda Airport,TYD,RU,55.284199,124.778999
6932,Khabarovsk Novy Airport,KHV,RU,48.528338,135.188588
6933,Komsomolsk-on-Amur Airport,KXK,RU,50.40900039672852,136.9340057373047
6934,Sovetskaya Gavan (Maygatka) Airport,GVN,RU,48.925067,140.035348
6935,Ugolny Yuri Ryktheu Airport,DYR,RU,64.734902,177.740997
6936,Provideniya Bay Airport,PVS,RU,64.37809753417969,-173.2429962158203
6937,Keperveem Airport,KPW,RU,67.845001,166.139999
6938,Sokol Airport,GDX,RU,59.9109992980957,150.72000122070312
6939,Markovo Airport,KVM,RU,64.665088,170.429782
6940,Pevek Airport,PWE,RU,69.783302,170.597
6941,Severo-Evensk Airport,SWV,RU,61.921786,159.229059
6942,Bogorodskoye Airport,BQG,RU,52.381041,140.449378
6943,Nikolayevsk-na-Amure Airport,NLI,RU,53.154999,140.649994
6944,Okhotsk Airport,OHO,RU,59.410064697265625,143.05650329589844
6945,Yelizovo Airport,PKC,RU,53.16790008544922,158.45399475097656
6946,Burevestnik Airport,BVV,RU,44.919998,147.621994
6947,Okha Airport,OHH,RU,53.517656,142.879772
6948,Iturup Airport,ITU,RU,45.256389,147.95549
6949,Shakhtyorsk Airport,EKS,RU,49.1903,142.082993
6950,Yuzhno-Kurilsk Mendeleyevo Airport,DEE,RU,43.961066,145.684977
6951,Zonalnoye Airport,ZZO,RU,50.6692008972,142.761001587
6952,Yuzhno-Sakhalinsk Airport,UUS,RU,46.885461,142.717466
6953,Amgu Airport,AEM,RU,45.84126,137.673568
6954,Svetlaya Airport,ETL,RU,46.541704,138.321703
6955,Yedinka Airport,EDN,RU,47.178201,138.657357
6956,Kavalerovo Airport,KVR,RU,44.2726,135.029
6957,Plastun Airport,TLY,RU,44.814998626709,136.29200744629
6958,Terney Airport,NEI,RU,45.0825,136.5912
6959,Vladivostok International Airport,VVO,RU,43.396256,132.148155
6960,Chita-Kadala International Airport,HTA,RU,52.026299,113.306
6961,Bratsk Airport,BTK,RU,56.370601654052734,101.697998046875
6962,Ust-Ilimsk Airport,UIK,RU,58.13610076904297,102.56500244140624
6963,Irkutsk International Airport,IKT,RU,52.268002,104.389
6964,Bodaybo Airport,ODO,RU,57.8661003113,114.242996216
6965,Yerbogachen Airport,ERG,RU,61.2750015259,108.029998779
6966,Kirensk Airport,KCK,RU,57.773,108.064
6967,Preobrazheniye Airport,RZH,RU,42.921698,133.904438
6968,Ust-Kut Airport,UKX,RU,56.8567008972168,105.7300033569336
6969,Baikal International Airport,UUD,RU,51.808614,107.439652
6970,Ujae Atoll Airport,UJE,MH,8.92805957794,165.761993408
6971,Uljin Airport,UJN,KR,36.777049,129.461861
6972,Boryspil International Airport,KBP,UA,50.345001,30.894699
6973,Kramatorsk Airport,KRQ,UA,48.706799,37.630922
6974,Mariupol International Airport,MPW,UA,47.07609939575195,37.44960021972656
6975,Sievierodonetsk Airport,SEV,UA,48.900926,38.54279
6976,Luhansk International Airport,VSG,UA,48.4174003601,39.3740997314
6977,Dnipro International Airport,DNK,UA,48.357201,35.100601
6978,Zaporizhzhia International Airport,OZH,UA,47.867000579833984,35.31570053100586
6979,Kryvyi Rih International Airport,KWG,UA,48.04330062866211,33.209999084472656
6980,Sevastopol International Airport / Belbek Air Base,UKS,UA,44.691822,33.57462
6981,Simferopol International Airport,SIP,UA,45.0522,33.975101
6982,Kerch Airport,KHC,UA,45.372501373291016,36.40140151977539
6983,Mukhaizna Airport,UKH,OM,19.386389,56.401389
6984,Kharkiv International Airport,HRK,UA,49.924801,36.290001
6985,Suprunovka Airport,PLV,UA,49.56859970092773,34.39720153808594
6986,Sumy Airport,UMY,UA,50.85829925537109,34.76250076293945
6987,Cherkasy International Airport,CKC,UA,49.41559982299805,31.99530029296875
6988,Kirovograd Airport,KGO,UA,48.54280090332031,32.28499984741211
6989,Kiev Zhuliany International Airport,IEV,UA,50.40194,30.45194
6990,Hostomel Airport,GML,UA,50.6035,30.1919
6991,Zhytomyr Airport,ZTR,UA,50.270556,28.738611
6992,Lutsk Airport,UCK,UA,50.678404,25.487165
6993,Khmelnytskyi Airport,HMJ,UA,49.359699,26.933399
6994,Ivano-Frankivsk International Airport,IFO,UA,48.88420104980469,24.68610000610352
6995,Lviv International Airport,LWO,UA,49.8125,23.9561
6996,Chernivtsi International Airport,CWC,UA,48.2593002319336,25.98080062866211
6997,Rivne International Airport,RWN,UA,50.60710144042969,26.141599655151367
6998,Uzhhorod International Airport,UDJ,UA,48.6343002319336,22.263399124145508
6999,Kherson International Airport,KHE,UA,46.6758,32.506401
7000,Mykolaiv International Airport,NLV,UA,47.057899,31.9198
7001,Odessa International Airport,ODS,UA,46.4268,30.6765
7002,Vinnytsia/Gavyryshivka International Airport,VIN,UA,49.242531,28.613778
7003,Talagi Airport,ARH,RU,64.60030364990234,40.71670150756836
7004,Leshukonskoye Airport,LDG,RU,64.8960037231,45.7229995728
7005,Naryan Mar Airport,NNM,RU,67.63999938964844,53.12189865112305
7006,Solovki Airport,CSH,RU,65.0299987793,35.7333335876
7007,Cherepovets Airport,CEE,RU,59.273601532,38.0158004761
7008,Amderma Airport,AMV,RU,69.76329803466797,61.556400299072266
7009,Varandey Airport,VRI,RU,68.848503,58.201401
7010,Majeed Bin Abdulaziz Airport,ULH,SA,26.48,38.128889
7011,Kotlas Airport,KSZ,RU,61.235801696777344,46.6974983215332
7012,Pulkovo Airport,LED,RU,59.80030059814453,30.262500762939453
7013,Kirovsk-Apatity Airport,KVK,RU,67.46330261230469,33.58829879760742
7014,Murmansk Airport,MMK,RU,68.78170013427734,32.75080108642578
7015,Pskov Airport,PKV,RU,57.78390121459961,28.39559936523437
7016,Petrozavodsk Airport,PES,RU,61.88520050048828,34.15470123291016
7017,Vologda Airport,VGD,RU,59.282501220703125,39.94440078735352
7018,Brest Airport,BQT,BY,52.108299,23.8981
7019,Gomel Airport,GME,BY,52.527000427246094,31.016700744628903
7020,Vitebsk Vostochny Airport,VTB,BY,55.126499176025,30.349599838257
